"PopName","Area","Sex","Year","YearReg","RefCode","Access","Births","NoteCode1","NoteCode2","NoteCode3","LDB"
"ARG","200","m",1914,"1914","1","O",147746,".",".",".",1
"ARG","200","m",1915,"1915","1","O",145616,".",".",".",1
"ARG","200","m",1916,"1916","1","O",147733,".",".",".",1
"ARG","200","m",1917,"1917","1","O",142691,".",".",".",1
"ARG","200","m",1918,"1918","1","O",141862,".",".",".",1
"ARG","200","m",1919,"1919","1","O",142529,".",".",".",1
"ARG","200","m",1920,"1920","1","O",143513,".",".",".",1
"ARG","200","m",1921,"1921","1","O",149302,".",".",".",1
"ARG","200","m",1922,"1922","1","O",154547,".",".",".",1
"ARG","200","m",1923,"1923","1","O",162393,".",".",".",1
"ARG","200","m",1924,"1924","1","O",163924,".",".",".",1
"ARG","200","m",1925,"1925","1","O",163753,".",".",".",1
"ARG","200","m",1926,"1926","1","O",165136,".",".",".",1
"ARG","200","m",1927,"1927","1","O",167916,".",".",".",1
"ARG","200","m",1928,"1928","1","O",173022,".",".",".",1
"ARG","200","m",1929,"1929","1","O",174995,".",".",".",1
"ARG","200","m",1930,"1930","1","O",175671,".",".",".",1
"ARG","200","m",1931,"1931","1","O",173953,".",".",".",1
"ARG","200","m",1932,"1932","1","O",175037,".",".",".",1
"ARG","200","m",1933,"1933","1","O",165478,".",".",".",1
"ARG","200","m",1934,"1934","1","O",164385,".",".",".",1
"ARG","200","m",1935,"1935","1","O",165591,".",".",".",1
"ARG","200","m",1936,"1936","1","O",164640,".",".",".",1
"ARG","200","m",1937,"1937","1","O",165002,".",".",".",1
"ARG","200","m",1938,"1938","1","O",167570,".",".",".",1
"ARG","200","m",1939,"1939","1","O",169166,".",".",".",1
"ARG","200","m",1940,"1940","1","O",175182,".",".",".",1
"ARG","200","m",1941,"1941","1","O",175447,".",".",".",1
"ARG","200","m",1942,"1942","1","O",175163,".",".",".",1
"ARG","200","m",1943,"1943","1","O",185189,".",".",".",1
"ARG","200","m",1944,"1944","1","O",195894,".",".",".",1
"ARG","200","m",1945,"1945","1","O",199618,".",".",".",1
"ARG","200","m",1946,"1946","1","O",198799,".",".",".",1
"ARG","200","m",1947,"1947","1","O",204903,".",".",".",1
"ARG","200","m",1948,"1948","1","O",212443,".",".",".",1
"ARG","200","m",1949,"1949","1","O",215819,".",".",".",1
"ARG","200","m",1950,"1950","1","O",225625,".",".",".",1
"ARG","200","m",1951,"1951","1","O",228484,".",".",".",1
"ARG","200","m",1952,"1952","1","O",228001,".",".",".",1
"ARG","200","m",1953,"1953","1","O",232770,".",".",".",1
"ARG","200","m",1954,"1954","1","O",235289,".",".",".",1
"ARG","200","m",1955,"1955","1","O",237208,".",".",".",1
"ARG","200","m",1956,"1956","1","O",243816,".",".",".",1
"ARG","200","m",1957,"1957","1","O",245989,".",".",".",1
"ARG","200","m",1958,"1958","1","O",243159,".",".",".",1
"ARG","200","m",1959,"1959","1","O",244880,".",".",".",1
"ARG","200","m",1960,"1960","1","O",243248,".",".",".",1
"ARG","200","m",1961,"1961","1","O",244905,".",".",".",1
"ARG","200","m",1962,"1962","1","O",252184,".",".",".",1
"ARG","200","m",1963,"1963","1","O",252541,".",".",".",1
"ARG","200","m",1964,"1964","1","O",255188,".",".",".",1
"ARG","200","m",1965,"1965","1","O",247775,".",".",".",1
"ARG","200","m",1966,"1966","1","O",246117,".",".",".",1
"ARG","200","m",1967,"1967","1","O",246156,".",".",".",1
"ARG","200","m",1968,"1968","1","O",253695,".",".",".",1
"ARG","200","m",1969,"1969","1","O",266607.5,".",".",".",1
"ARG","200","m",1970,"1970","1","O",279520,".",".",".",1
"ARG","200","m",1971,"1971","1","O",285265,".",".",".",1
"ARG","200","m",1972,"1972","1","O",284803,".",".",".",1
"ARG","200","m",1973,"1973","1","O",292836,".",".",".",1
"ARG","200","m",1974,"1974","1","O",309160,".",".",".",1
"ARG","200","m",1975,"1975","1","O",318792,".",".",".",1
"ARG","200","m",1976,"1976","1","O",325669,".",".",".",1
"ARG","200","m",1977,"1977","1","O",341428,".",".",".",1
"ARG","200","m",1978,"1978","1","O",342192,".",".",".",1
"ARG","200","m",1979,"1979","1","O",355059,".",".",".",1
"ARG","200","m",1980,"1980","1","O",358563,".",".",".",1
"ARG","200","m",1981,"1981","1","O",349706,".",".",".",1
"ARG","200","m",1982,"1982","1","O",341038,".",".",".",1
"ARG","200","m",1983,"1983","1","O",337146,".",".",".",1
"ARG","200","m",1984,"1984","1","O",326335,".",".",".",1
"ARG","200","m",1985,"1985","1","O",334454,".",".",".",1
"ARG","200","m",1986,"1986","1","O",347029,".",".",".",1
"ARG","200","m",1987,"1987","1","O",343353,".",".",".",1
"ARG","200","m",1988,"1988","1","O",349772,".",".",".",1
"ARG","200","m",1989,"1989","1","O",342781,".",".",".",1
"ARG","200","m",1990,"1990","1","O",348704,".",".",".",1
"ARG","200","m",1991,"1991","1","O",357175,".",".",".",1
"ARG","200","m",1992,"1992","1","O",348825,".",".",".",1
"ARG","200","m",1993,"1993","1","O",343109,".",".",".",1
"ARG","200","m",1994,"1994","1","O",346389,".",".",".",1
"ARG","200","m",1995,"1995","1","O",338646,".",".",".",1
"ARG","200","m",1996,"1996","1","O",347236,".",".",".",1
"ARG","200","m",1997,"1997","1","O",355982,".",".",".",1
"ARG","200","m",1998,"1998","1","O",351295,".",".",".",1
"ARG","200","m",1999,"1999","1","O",353046,".",".",".",1
"ARG","200","m",2000,"2000","1","O",360832,".",".",".",1
"ARG","200","m",2001,"2001","1","O",351471,".",".",".",1
"ARG","200","m",2002,"2002","1","O",357225,".",".",".",1
"ARG","200","m",2003,"2003","1","O",358905,".",".",".",1
"ARG","200","m",2004,"2004","1","O",378605,".",".",".",1
"ARG","200","m",2005,"2005","1","O",366242,".",".",".",1
"ARG","200","m",2006,"2006","1","O",358133,".",".",".",1
"ARG","200","m",2007,"2007","1","O",360366,".",".",".",1
"ARG","200","m",2008,"2008","1","O",383849,".",".",".",1
"ARG","200","m",2009,"2009","1","O",383271,".",".",".",1
"ARG","200","m",2010,"2010","1","O",388846,".",".",".",1
"ARG","200","m",2011,"2011","1","O",389805,".",".",".",1
"ARG","200","m",2012,"2012","1","O",379663,".",".",".",1
"ARG","200","m",2013,"2013","1","O",388037,".",".",".",1
"ARG","200","m",2014,"2014","1","O",399560,".",".",".",1
"ARG","200","m",2015,"2015","1","O",395975,".",".",".",1
"ARG","200","f",1914,"1914","1","O",139571,".",".",".",1
"ARG","200","f",1915,"1915","1","O",137559,".",".",".",1
"ARG","200","f",1916,"1916","1","O",139559,".",".",".",1
"ARG","200","f",1917,"1917","1","O",134795,".",".",".",1
"ARG","200","f",1918,"1918","1","O",134013,".",".",".",1
"ARG","200","f",1919,"1919","1","O",134643,".",".",".",1
"ARG","200","f",1920,"1920","1","O",135571,".",".",".",1
"ARG","200","f",1921,"1921","1","O",141041,".",".",".",1
"ARG","200","f",1922,"1922","1","O",145996,".",".",".",1
"ARG","200","f",1923,"1923","1","O",153407,".",".",".",1
"ARG","200","f",1924,"1924","1","O",154853,".",".",".",1
"ARG","200","f",1925,"1925","1","O",154692,".",".",".",1
"ARG","200","f",1926,"1926","1","O",155999,".",".",".",1
"ARG","200","f",1927,"1927","1","O",158625,".",".",".",1
