"PopName","Area","Year","YearReg","YearInterval","Sex","Age","AgeInterval","Lexis","RefCode","Access","Deaths","NoteCode1","NoteCode2","NoteCode3","LDB"
"ARG",200,2002,2002,1,"m",0,"1","TL",".","O",5653,".",".",".",1
"ARG",200,1999,1999,1,"m",0,"1","TL",".","O",5889,".",".",".",1
"ARG",200,2001,2005,1,"m",0,"1","TL",".","O",1,".",".",".",1
"ARG",200,2010,2010,1,"m",0,"1","TL",".","O",4383,".",".",".",1
"ARG",200,1991,1991,1,"m",0,"1","TL",".","O",7912,".",".",".",1
"ARG",200,1999,2000,1,"m",0,"1","TL",".","O",42,".",".",".",1
"ARG",200,2009,2009,1,"m",0,"1","TL",".","O",4446,".",".",".",1
"ARG",200,1998,2004,1,"m",0,"1","TL",".","O",1,".",".",".",1
"ARG",200,2000,2003,1,"m",0,"1","TL",".","O",1,".",".",".",1
"ARG",200,1996,1997,1,"m",0,"1","TL",".","O",81,".",".",".",1
"ARG",200,2007,2007,1,"m",0,"1","TL",".","O",4537,".",".",".",1
"ARG",200,1998,1999,1,"m",0,"1","TL",".","O",53,".",".",".",1
"ARG",200,2001,2003,1,"m",0,"1","TL",".","O",2,".",".",".",1
"ARG",200,1993,1993,1,"m",0,"1","TL",".","O",7497,".",".",".",1
"ARG",200,2012,2012,1,"m",0,"1","TL",".","O",3949,".",".",".",1
"ARG",200,1997,1999,1,"m",0,"1","TL",".","O",3,".",".",".",1
"ARG",200,2001,2001,1,"m",0,"1","TL",".","O",5399,".",".",".",1
"ARG",200,2009,2014,1,"m",0,"1","TL",".","O",1,".",".",".",1
"ARG",200,2012,2014,1,"m",0,"1","TL",".","O",2,".",".",".",1
"ARG",200,2010,2014,1,"m",0,"1","TL",".","O",3,".",".",".",1
"ARG",200,2000,2004,1,"m",0,"1","TL",".","O",2,".",".",".",1
"ARG",200,2006,2006,1,"m",0,"1","TL",".","O",4395,".",".",".",1
"ARG",200,2013,2014,1,"m",0,"1","TL",".","O",67,".",".",".",1
"ARG",200,1994,1994,1,"m",0,"1","TL",".","O",7301,".",".",".",1
"ARG",200,1998,2001,1,"m",0,"1","TL",".","O",3,".",".",".",1
"ARG",200,2012,2013,1,"m",0,"1","TL",".","O",83,".",".",".",1
"ARG",200,2001,2004,1,"m",0,"1","TL",".","O",1,".",".",".",1
"ARG",200,1995,1996,1,"m",0,"1","TL",".","O",101,".",".",".",1
"ARG",200,1998,1998,1,"m",0,"1","TL",".","O",6488,".",".",".",1
"ARG",200,1996,1999,1,"m",0,"1","TL",".","O",1,".",".",".",1
"ARG",200,2004,2005,1,"m",0,"1","TL",".","O",49,".",".",".",1
"ARG",200,2014,2015,1,"m",0,"1","TL",".","O",74,".",".",".",1
"ARG",200,2003,2004,1,"m",0,"1","TL",".","O",65,".",".",".",1
"ARG",200,2009,2010,1,"m",0,"1","TL",".","O",30,".",".",".",1
"ARG",200,2011,2012,1,"m",0,"1","TL",".","O",52,".",".",".",1
"ARG",200,2003,2003,1,"m",0,"1","TL",".","O",5509,".",".",".",1
"ARG",200,1995,1995,1,"m",0,"1","TL",".","O",7220,".",".",".",1
"ARG",200,2015,2015,1,"m",0,"1","TL",".","O",3614,".",".",".",1
"ARG",200,2004,2004,1,"m",0,"1","TL",".","O",5100,".",".",".",1
"ARG",200,1999,2004,1,"m",0,"1","TL",".","O",1,".",".",".",1
"ARG",200,2000,2005,1,"m",0,"1","TL",".","O",2,".",".",".",1
"ARG",200,1997,1997,1,"m",0,"1","TL",".","O",6316,".",".",".",1
"ARG",200,2006,2007,1,"m",0,"1","TL",".","O",37,".",".",".",1
"ARG",200,2011,2011,1,"m",0,"1","TL",".","O",4295,".",".",".",1
"ARG",200,2000,2000,1,"m",0,"1","TL",".","O",5730,".",".",".",1
"ARG",200,2004,2014,1,"m",0,"1","TL",".","O",1,".",".",".",1
"ARG",200,1996,1996,1,"m",0,"1","TL",".","O",7007,".",".",".",1
"ARG",200,2005,2005,1,"m",0,"1","TL",".","O",4677,".",".",".",1
"ARG",200,1998,2000,1,"m",0,"1","TL",".","O",2,".",".",".",1
"ARG",200,2003,2005,1,"m",0,"1","TL",".","O",4,".",".",".",1
"ARG",200,2014,2014,1,"m",0,"1","TL",".","O",3951,".",".",".",1
"ARG",200,1992,1992,1,"m",0,"1","TL",".","O",7751,".",".",".",1
"ARG",200,2015,2016,1,"m",0,"1","TL",".","O",58,".",".",".",1
"ARG",200,2005,2006,1,"m",0,"1","TL",".","O",48,".",".",".",1
"ARG",200,1997,1998,1,"m",0,"1","TL",".","O",68,".",".",".",1
"ARG",200,2002,2004,1,"m",0,"1","TL",".","O",3,".",".",".",1
"ARG",200,1990,1990,1,"m",0,"1","TL",".","O",7554,".",".",".",1
"ARG",200,2000,2002,1,"m",0,"1","TL",".","O",2,".",".",".",1
"ARG",200,2010,2011,1,"m",0,"1","TL",".","O",42,".",".",".",1
"ARG",200,2008,2009,1,"m",0,"1","TL",".","O",40,".",".",".",1
"ARG",200,2008,2008,1,"m",0,"1","TL",".","O",4507,".",".",".",1
"ARG",200,2000,2001,1,"m",0,"1","TL",".","O",66,".",".",".",1
"ARG",200,2002,2003,1,"m",0,"1","TL",".","O",79,".",".",".",1
"ARG",200,2013,2013,1,"m",0,"1","TL",".","O",3912,".",".",".",1
"ARG",200,1995,1997,1,"m",0,"1","TL",".","O",3,".",".",".",1
"ARG",200,1999,2001,1,"m",0,"1","TL",".","O",8,".",".",".",1
"ARG",200,2001,2002,1,"m",0,"1","TL",".","O",57,".",".",".",1
"ARG",200,2007,2008,1,"m",0,"1","TL",".","O",61,".",".",".",1
"ARG",200,1996,1997,1,"m",1,"1","TL",".","O",3,".",".",".",1
"ARG",200,2014,2014,1,"m",1,"1","TL",".","O",167,".",".",".",1
"ARG",200,2004,2004,1,"m",1,"1","TL",".","O",203,".",".",".",1
"ARG",200,2001,2001,1,"m",1,"1","TL",".","O",238,".",".",".",1
"ARG",200,2009,2010,1,"m",1,"1","TL",".","O",2,".",".",".",1
"ARG",200,1999,2000,1,"m",1,"1","TL",".","O",4,".",".",".",1
"ARG",200,1999,1999,1,"m",1,"1","TL",".","O",257,".",".",".",1
"ARG",200,1995,1995,1,"m",1,"1","TL",".","O",339,".",".",".",1
"ARG",200,2007,2008,1,"m",1,"1","TL",".","O",4,".",".",".",1
"ARG",200,2000,2000,1,"m",1,"1","TL",".","O",205,".",".",".",1
"ARG",200,2002,2003,1,"m",1,"1","TL",".","O",2,".",".",".",1
"ARG",200,2009,2009,1,"m",1,"1","TL",".","O",186,".",".",".",1
"ARG",200,2010,2010,1,"m",1,"1","TL",".","O",201,".",".",".",1
"ARG",200,2001,2002,1,"m",1,"1","TL",".","O",2,".",".",".",1
"ARG",200,1998,1999,1,"m",1,"1","TL",".","O",3,".",".",".",1
"ARG",200,2003,2003,1,"m",1,"1","TL",".","O",230,".",".",".",1
"ARG",200,1990,1990,1,"m",1,"1","TL",".","O",374,".",".",".",1
"ARG",200,2000,2001,1,"m",1,"1","TL",".","O",2,".",".",".",1
"ARG",200,2006,2006,1,"m",1,"1","TL",".","O",231,".",".",".",1
"ARG",200,2013,2013,1,"m",1,"1","TL",".","O",175,".",".",".",1
"ARG",200,2004,2005,1,"m",1,"1","TL",".","O",4,".",".",".",1
"ARG",200,2011,2011,1,"m",1,"1","TL",".","O",183,".",".",".",1
"ARG",200,1996,1996,1,"m",1,"1","TL",".","O",349,".",".",".",1
"ARG",200,2012,2013,1,"m",1,"1","TL",".","O",7,".",".",".",1
"ARG",200,2015,2015,1,"m",1,"1","TL",".","O",146,".",".",".",1
"ARG",200,2008,2008,1,"m",1,"1","TL",".","O",193,".",".",".",1
"ARG",200,1995,1996,1,"m",1,"1","TL",".","O",7,".",".",".",1
"ARG",200,2003,2004,1,"m",1,"1","TL",".","O",4,".",".",".",1
"ARG",200,1993,1993,1,"m",1,"1","TL",".","O",419,".",".",".",1
"ARG",200,2005,2005,1,"m",1,"1","TL",".","O",195,".",".",".",1
"ARG",200,2005,2006,1,"m",1,"1","TL",".","O",2,".",".",".",1
"ARG",200,1998,1998,1,"m",1,"1","TL",".","O",339,".",".",".",1
"ARG",200,2007,2007,1,"m",1,"1","TL",".","O",193,".",".",".",1
"ARG",200,1991,1991,1,"m",1,"1","TL",".","O",425,".",".",".",1
"ARG",200,2000,2004,1,"m",1,"1","TL",".","O",1,".",".",".",1
"ARG",200,1994,1994,1,"m",1,"1","TL",".","O",330,".",".",".",1
"ARG",200,2011,2012,1,"m",1,"1","TL",".","O",1,".",".",".",1
"ARG",200,2010,2011,1,"m",1,"1","TL",".","O",1,".",".",".",1
"ARG",200,2015,2016,1,"m",1,"1","TL",".","O",4,".",".",".",1
"ARG",200,2000,2005,1,"m",1,"1","TL",".","O",1,".",".",".",1
"ARG",200,2012,2012,1,"m",1,"1","TL",".","O",172,".",".",".",1
"ARG",200,1997,1998,1,"m",1,"1","TL",".","O",2,".",".",".",1
"ARG",200,1997,1997,1,"m",1,"1","TL",".","O",340,".",".",".",1
"ARG",200,2006,2007,1,"m",1,"1","TL",".","O",3,".",".",".",1
"ARG",200,2002,2005,1,"m",1,"1","TL",".","O",1,".",".",".",1
"ARG",200,1992,1992,1,"m",1,"1","TL",".","O",428,".",".",".",1
"ARG",200,1999,2005,1,"m",1,"1","TL",".","O",1,".",".",".",1
"ARG",200,2002,2002,1,"m",1,"1","TL",".","O",259,".",".",".",1
"ARG",200,2014,2015,1,"m",1,"1","TL",".","O",4,".",".",".",1
"ARG",200,2008,2009,1,"m",1,"1","TL",".","O",1,".",".",".",1
"ARG",200,2013,2014,1,"m",1,"1","TL",".","O",7,".",".",".",1
"ARG",200,2007,2007,1,"m",2,"1","TL",".","O",155,".",".",".",1
"ARG",200,1996,1996,1,"m",2,"1","TL",".","O",188,".",".",".",1
"ARG",200,2003,2004,1,"m",2,"1","TL",".","O",1,".",".",".",1
"ARG",200,2010,2011,1,"m",2,"1","TL",".","O",1,".",".",".",1
"ARG",200,1992,1992,1,"m",2,"1","TL",".","O",180,".",".",".",1
"ARG",200,2010,2010,1,"m",2,"1","TL",".","O",116,".",".",".",1
"ARG",200,2004,2004,1,"m",2,"1","TL",".","O",142,".",".",".",1
