"PopName","Area","Sex","Age","AgeInterval","Type","Day","Month","Year","Access","Population","NoteCode1","NoteCode2","NoteCode3","LDB","RefCode"
"ARG",200,"m",0,"1","C",15,5,1991,"O",354450,".",".",".",0,0
"ARG",200,"m",1,"1","C",15,5,1991,"O",308489,".",".",".",0,0
"ARG",200,"m",2,"1","C",15,5,1991,"O",342605,".",".",".",0,0
"ARG",200,"m",3,"1","C",15,5,1991,"O",341300,".",".",".",0,0
"ARG",200,"m",4,"1","C",15,5,1991,"O",349047,".",".",".",0,0
"ARG",200,"m",5,"1","C",15,5,1991,"O",335677,".",".",".",0,0
"ARG",200,"m",6,"1","C",15,5,1991,"O",321514,".",".",".",0,0
"ARG",200,"m",7,"1","C",15,5,1991,"O",323616,".",".",".",0,0
"ARG",200,"m",8,"1","C",15,5,1991,"O",335040,".",".",".",0,0
"ARG",200,"m",9,"1","C",15,5,1991,"O",341667,".",".",".",0,0
"ARG",200,"m",10,"1","C",15,5,1991,"O",339891,".",".",".",0,0
"ARG",200,"m",11,"1","C",15,5,1991,"O",348105,".",".",".",0,0
"ARG",200,"m",12,"1","C",15,5,1991,"O",344042,".",".",".",0,0
"ARG",200,"m",13,"1","C",15,5,1991,"O",332660,".",".",".",0,0
"ARG",200,"m",14,"1","C",15,5,1991,"O",322299,".",".",".",0,0
"ARG",200,"m",15,"1","C",15,5,1991,"O",301924,".",".",".",0,0
"ARG",200,"m",16,"1","C",15,5,1991,"O",300744,".",".",".",0,0
"ARG",200,"m",17,"1","C",15,5,1991,"O",278426,".",".",".",0,0
"ARG",200,"m",18,"1","C",15,5,1991,"O",277618,".",".",".",0,0
"ARG",200,"m",19,"1","C",15,5,1991,"O",258907,".",".",".",0,0
"ARG",200,"m",20,"1","C",15,5,1991,"O",258448,".",".",".",0,0
"ARG",200,"m",21,"1","C",15,5,1991,"O",248732,".",".",".",0,0
"ARG",200,"m",22,"1","C",15,5,1991,"O",238026,".",".",".",0,0
"ARG",200,"m",23,"1","C",15,5,1991,"O",238960,".",".",".",0,0
"ARG",200,"m",24,"1","C",15,5,1991,"O",229669,".",".",".",0,0
"ARG",200,"m",25,"1","C",15,5,1991,"O",229936,".",".",".",0,0
"ARG",200,"m",26,"1","C",15,5,1991,"O",225863,".",".",".",0,0
"ARG",200,"m",27,"1","C",15,5,1991,"O",227430,".",".",".",0,0
"ARG",200,"m",28,"1","C",15,5,1991,"O",234580,".",".",".",0,0
"ARG",200,"m",29,"1","C",15,5,1991,"O",219552,".",".",".",0,0
"ARG",200,"m",30,"1","C",15,5,1991,"O",235655,".",".",".",0,0
"ARG",200,"m",31,"1","C",15,5,1991,"O",211357,".",".",".",0,0
"ARG",200,"m",32,"1","C",15,5,1991,"O",213870,".",".",".",0,0
"ARG",200,"m",33,"1","C",15,5,1991,"O",221264,".",".",".",0,0
"ARG",200,"m",34,"1","C",15,5,1991,"O",211985,".",".",".",0,0
"ARG",200,"m",35,"1","C",15,5,1991,"O",213555,".",".",".",0,0
"ARG",200,"m",36,"1","C",15,5,1991,"O",211195,".",".",".",0,0
"ARG",200,"m",37,"1","C",15,5,1991,"O",205323,".",".",".",0,0
"ARG",200,"m",38,"1","C",15,5,1991,"O",210926,".",".",".",0,0
"ARG",200,"m",39,"1","C",15,5,1991,"O",202203,".",".",".",0,0
"ARG",200,"m",40,"1","C",15,5,1991,"O",214041,".",".",".",0,0
"ARG",200,"m",41,"1","C",15,5,1991,"O",189422,".",".",".",0,0
"ARG",200,"m",42,"1","C",15,5,1991,"O",204426,".",".",".",0,0
"ARG",200,"m",43,"1","C",15,5,1991,"O",193521,".",".",".",0,0
"ARG",200,"m",44,"1","C",15,5,1991,"O",168202,".",".",".",0,0
"ARG",200,"m",45,"1","C",15,5,1991,"O",182702,".",".",".",0,0
"ARG",200,"m",46,"1","C",15,5,1991,"O",175245,".",".",".",0,0
"ARG",200,"m",47,"1","C",15,5,1991,"O",164217,".",".",".",0,0
"ARG",200,"m",48,"1","C",15,5,1991,"O",158341,".",".",".",0,0
"ARG",200,"m",49,"1","C",15,5,1991,"O",151881,".",".",".",0,0
"ARG",200,"m",50,"1","C",15,5,1991,"O",160767,".",".",".",0,0
"ARG",200,"m",51,"1","C",15,5,1991,"O",141344,".",".",".",0,0
"ARG",200,"m",52,"1","C",15,5,1991,"O",144493,".",".",".",0,0
"ARG",200,"m",53,"1","C",15,5,1991,"O",140725,".",".",".",0,0
"ARG",200,"m",54,"1","C",15,5,1991,"O",135302,".",".",".",0,0
"ARG",200,"m",55,"1","C",15,5,1991,"O",132495,".",".",".",0,0
"ARG",200,"m",56,"1","C",15,5,1991,"O",134842,".",".",".",0,0
"ARG",200,"m",57,"1","C",15,5,1991,"O",124537,".",".",".",0,0
"ARG",200,"m",58,"1","C",15,5,1991,"O",129900,".",".",".",0,0
"ARG",200,"m",59,"1","C",15,5,1991,"O",130662,".",".",".",0,0
"ARG",200,"m",60,"1","C",15,5,1991,"O",137483,".",".",".",0,0
"ARG",200,"m",61,"1","C",15,5,1991,"O",113781,".",".",".",0,0
"ARG",200,"m",62,"1","C",15,5,1991,"O",122489,".",".",".",0,0
"ARG",200,"m",63,"1","C",15,5,1991,"O",117821,".",".",".",0,0
"ARG",200,"m",64,"1","C",15,5,1991,"O",110132,".",".",".",0,0
"ARG",200,"m",65,"1","C",15,5,1991,"O",113329,".",".",".",0,0
"ARG",200,"m",66,"1","C",15,5,1991,"O",98464,".",".",".",0,0
"ARG",200,"m",67,"1","C",15,5,1991,"O",96491,".",".",".",0,0
"ARG",200,"m",68,"1","C",15,5,1991,"O",91444,".",".",".",0,0
"ARG",200,"m",69,"1","C",15,5,1991,"O",81834,".",".",".",0,0
"ARG",200,"m",70,"1","C",15,5,1991,"O",83011,".",".",".",0,0
"ARG",200,"m",71,"1","C",15,5,1991,"O",65716,".",".",".",0,0
"ARG",200,"m",72,"1","C",15,5,1991,"O",63941,".",".",".",0,0
"ARG",200,"m",73,"1","C",15,5,1991,"O",58347,".",".",".",0,0
"ARG",200,"m",74,"1","C",15,5,1991,"O",53704,".",".",".",0,0
"ARG",200,"m",75,"1","C",15,5,1991,"O",53693,".",".",".",0,0
"ARG",200,"m",76,"1","C",15,5,1991,"O",48887,".",".",".",0,0
"ARG",200,"m",77,"1","C",15,5,1991,"O",43404,".",".",".",0,0
"ARG",200,"m",78,"1","C",15,5,1991,"O",42035,".",".",".",0,0
"ARG",200,"m",79,"1","C",15,5,1991,"O",34774,".",".",".",0,0
"ARG",200,"m",80,"1","C",15,5,1991,"O",33136,".",".",".",0,0
"ARG",200,"m",81,"1","C",15,5,1991,"O",25516,".",".",".",0,0
"ARG",200,"m",82,"1","C",15,5,1991,"O",23449,".",".",".",0,0
"ARG",200,"m",83,"1","C",15,5,1991,"O",20417,".",".",".",0,0
"ARG",200,"m",84,"1","C",15,5,1991,"O",16545,".",".",".",0,0
