"Year","Age","Triangle","Cohort","Population","Deaths"
1990,0,1,1990,329409,5667
1990,0,2,1989,348912,931
1990,1,1,1989,341448.3,315
1990,1,2,1988,335581.25,223
1990,2,1,1988,331038.01,146
1990,2,2,1987,326841.25,108
1990,3,1,1987,324276.53,81
1990,3,2,1986,321668,62
1990,4,1,1986,320614.37,70
1990,4,2,1985,319407.25,56
1990,5,1,1985,319443.7,55
1990,5,2,1984,319409.75,45
1990,6,1,1984,320202.48,46
1990,6,2,1983,321063.75,39
1990,7,1,1983,322348.3,42
1990,7,2,1982,323748.25,36
1990,8,1,1982,325273.44,39
1990,8,2,1981,326845,34
1990,9,1,1981,328621.91,44
1990,9,2,1980,330362.5,40
1990,10,1,1980,332687.01,42
1990,10,2,1979,334924,38
1990,11,1,1979,336166.83,42
1990,11,2,1978,337413.5,38
1990,12,1,1978,334993.16,34
1990,12,2,1977,332830.25,31
1990,13,1,1977,326782.3,34
1990,13,2,1976,321193.25,32
1990,14,1,1976,313970.03,45
1990,14,2,1975,307201.5,42
1990,15,1,1975,300107.52,50
1990,15,2,1974,293363.5,46
1990,16,1,1974,286716.28,60
1990,16,2,1973,280306.5,56
1990,17,1,1973,275200.18,68
1990,17,2,1972,270196.25,63
1990,18,1,1972,266766.85,66
1990,18,2,1971,263354,62
1990,19,1,1971,260432.67,58
1990,19,2,1970,257550.5,55
1990,20,1,1970,254412.79,67
1990,20,2,1969,251406.5,63
1990,21,1,1969,248544.61,69
1990,21,2,1968,245870,65
1990,22,1,1968,243765.78,77
1990,22,2,1967,241844.5,73
1990,23,1,1967,240471.38,81
1990,23,2,1966,239255,77
1990,24,1,1966,238265.1,85
1990,24,2,1965,237424.5,80
1990,25,1,1965,236623.15,72
1990,25,2,1964,235972,68
1990,26,1,1964,235273.91,78
1990,26,2,1963,234730.25,73
1990,27,1,1963,233917.95,74
1990,27,2,1962,233275.5,69
1990,28,1,1962,232295.67,97
1990,28,2,1961,231517,89
1990,29,1,1961,230513.52,89
1990,29,2,1960,229724.75,82
1990,30,1,1960,228798.95,99
1990,30,2,1959,228075.5,92
1990,31,1,1959,227134.2,94
1990,31,2,1958,226391.25,88
1990,32,1,1958,225373.66,109
1990,32,2,1957,224562.25,102
1990,33,1,1957,223431.54,113
1990,33,2,1956,222522.25,106
1990,34,1,1956,221306.18,119
1990,34,2,1955,220316,112
1990,35,1,1955,219051.29,130
1990,35,2,1954,218022.5,123
1990,36,1,1954,216566.07,133
1990,36,2,1953,215362.75,125
1990,37,1,1953,213493.55,150
1990,37,2,1952,211916.75,141
1990,38,1,1952,209624.48,180
1990,38,2,1951,207681.5,169
1990,39,1,1951,205207.83,175
1990,39,2,1950,203096.75,164
1990,40,1,1950,200617.28,187
1990,40,2,1949,198493,175
1990,41,1,1949,195958.68,189
1990,41,2,1948,193786.5,176
1990,42,1,1948,191187.68,200
1990,42,2,1947,188958.75,187
1990,43,1,1947,186318.45,214
1990,43,2,1946,184073,200
1990,44,1,1946,181428.24,220
1990,44,2,1945,179205.5,206
1990,45,1,1945,176564.21,244
1990,45,2,1944,174381.25,230
1990,46,1,1944,171858.77,251
1990,46,2,1943,169820.25,238
1990,47,1,1943,167624.26,257
1990,47,2,1942,165914,244
1990,48,1,1942,164058.07,268
1990,48,2,1941,162705,256
1990,49,1,1941,161003.99,292
1990,49,2,1940,159847.5,280
1990,50,1,1940,158159.4,324
1990,50,2,1939,157078.5,312
1990,51,1,1939,155510.4,314
1990,51,2,1938,154586.25,302
1990,52,1,1938,153286.11,353
1990,52,2,1937,152665.75,339
1990,53,1,1937,151595.31,346
1990,53,2,1936,151231.5,331
1990,54,1,1936,150264.44,389
1990,54,2,1935,150037,371
1990,55,1,1935,149042.45,391
1990,55,2,1934,148829.75,371
1990,56,1,1934,147841.41,422
1990,56,2,1933,147676.5,398
1990,57,1,1933,146631.14,534
1990,57,2,1932,146550.25,501
1990,58,1,1932,145381.32,542
1990,58,2,1931,145279.25,508
1990,59,1,1931,144051.81,577
1990,59,2,1930,143921.75,540
1990,60,1,1930,142625.46,649
1990,60,2,1929,142508.5,606
1990,61,1,1929,140936.71,680
1990,61,2,1928,140654.25,633
1990,62,1,1928,138554.67,714
1990,62,2,1927,137842.25,664
1990,63,1,1927,135224.72,739
