"Year","Age","Triangle","Cohort","Population","Deaths"
1990,0,1,1990,348704,7554
1990,0,2,1989,360187.75,1111
1990,1,1,1989,352641.6,374
1990,1,2,1988,346877.25,246
1990,2,1,1988,342320.73,195
1990,2,2,1987,338166,136
1990,3,1,1987,335518.89,124
1990,3,2,1986,332909.25,91
1990,4,1,1986,331724.45,82
1990,4,2,1985,330461.25,63
1990,5,1,1985,330340.6,62
1990,5,2,1984,330209.75,50
1990,6,1,1984,330810.39,49
1990,6,2,1983,331543.5,42
1990,7,1,1983,332602.95,60
1990,7,2,1982,333854.75,52
1990,8,1,1982,335116.59,57
1990,8,2,1981,336520.25,52
1990,9,1,1981,338009.17,59
1990,9,2,1980,339561.5,55
1990,10,1,1980,341582.48,57
1990,10,2,1979,343613.75,55
1990,11,1,1979,344546.59,60
1990,11,2,1978,345583.25,59
1990,12,1,1978,342861.61,62
1990,12,2,1977,340503.75,61
1990,13,1,1977,334159.55,72
1990,13,2,1976,328397,72
1990,14,1,1976,320866.14,84
1990,14,2,1975,313925.75,84
1990,15,1,1975,306509.82,89
1990,15,2,1974,299577.25,89
1990,16,1,1974,292611.54,130
1990,16,2,1973,286043.75,129
1990,17,1,1973,280655.42,128
1990,17,2,1972,275548.5,127
1990,18,1,1972,271903.83,129
1990,18,2,1971,268441.75,125
1990,19,1,1971,265301,148
1990,19,2,1970,262390,142
1990,20,1,1970,258975.66,162
1990,20,2,1969,255917.5,154
1990,21,1,1969,252739.18,162
1990,21,2,1968,249978,152
1990,22,1,1968,247516.24,166
1990,22,2,1967,245457,154
1990,23,1,1967,243677.69,166
1990,23,2,1966,242263.5,153
1990,24,1,1966,240850.57,165
1990,24,2,1965,239783.5,152
1990,25,1,1965,238609.9,144
1990,25,2,1964,237758.25,132
1990,26,1,1964,236587.34,153
1990,26,2,1963,235743.5,140
1990,27,1,1963,234099.25,138
1990,27,2,1962,232824.5,127
1990,28,1,1962,230697.55,151
1990,28,2,1961,228980,139
1990,29,1,1961,226747.52,177
1990,29,2,1960,224962,163
1990,30,1,1960,222777.07,197
1990,30,2,1959,221064.25,182
1990,31,1,1959,219073.68,145
1990,31,2,1958,217505.75,135
1990,32,1,1958,216086.66,158
1990,32,2,1957,215007,148
1990,33,1,1957,214083.84,174
1990,33,2,1956,213488.5,163
1990,34,1,1956,212679.51,195
1990,34,2,1955,212227.25,183
1990,35,1,1955,211362.74,210
1990,35,2,1954,210897.5,198
1990,36,1,1954,209794.19,218
1990,36,2,1953,209131.25,206
1990,37,1,1953,207390.4,227
1990,37,2,1952,206147.5,215
1990,38,1,1952,203759.66,251
1990,38,2,1951,201926.5,238
1990,39,1,1951,199307.99,284
1990,39,2,1950,197279.75,271
1990,40,1,1950,194648.62,336
1990,40,2,1949,192657.5,321
1990,41,1,1949,189989.99,313
1990,41,2,1948,187972.75,300
1990,42,1,1948,185377.44,339
1990,42,2,1947,183419,323
