ARG,  Births (1-year)	Last modified: 04 ago. 2019; MPv5 (May07)

Year          Female      Male     Total
1914          139571    147746    287317
1915          137559    145616    283175
1916          139559    147733    287292
1917          134795    142691    277486
1918          134013    141862    275875
1919          134643    142529    277172
1920          135571    143513    279084
1921          141041    149302    290343
1922          145996    154547    300543
1923          153407    162393    315800
1924          154853    163924    318777
1925          154692    163753    318445
1926          155999    165136    321135
1927          158625    167916    326541
1928          163448    173022    336470
1929          165312    174995    340307
1930          165951    175671    341622
1931          164328    173953    338281
1932          165352    175037    340389
1933          156321    165478    321799
1934          155288    164385    319673
1935          156428    165591    322019
1936          155529    164640    320169
1937          155872    165002    320874
1938          158298    167570    325868
1939          159805    169166    328971
1940          165489    175182    340671
1941          165738    175447    341185
1942          165470    175163    340633
1943          174941    185189    360130
1944          185055    195894    380949
1945          188572    199618    388190
1946          187799    198799    386598
1947          193564    204903    398467
1948          200688    212443    413131
1949          203876    215819    419695
1950          213140    225625    438765
1951          215841    228484    444325
1952          215384    228001    443385
1953          219889    232770    452659
1954          222269    235289    457558
1955          224083    237208    461291
1956          230325    243816    474141
1957          232378    245989    478367
1958          229705    243159    472864
1959          231330    244880    476210
1960          229789    243248    473037
1961          231353    244905    476258
1962          238229    252184    490413
1963          238567    252541    491108
1964          241067    255188    496255
1965          234065    247775    481840
1966          232499    246117    478616
1967          232535    246156    478691
1968          239657    253695    493352
1969          251855    266607    518463
1970          264054    279520    543574
1971          269481    285265    554746
1972          269043    284803    553846
1973          276632    292836    569468
1974          292052    309160    601212
1975          301152    318792    619944
1976          307649    325669    633318
1977          322536    341428    663964
1978          323257    342192    665449
1979          335412    355059    690471
1980          338722    358563    697285
1981          330356    349706    680062
1982          322168    341038    663206
1983          318491    337146    655637
1984          308278    326335    634613
1985          315947    334454    650401
1986          327826    347029    674855
1987          324354    343353    667707
1988          330417    349772    680189
1989          323814    342781    666595
1990          329409    348704    678113
1991          337412    357175    694587
1992          329524    348825    678349
1993          324123    343109    667232
1994          327221    346389    673610
1995          319908    338646    658554
1996          328023    347236    675259
1997          336284    355982    692266
1998          331856    351295    683151
1999          333511    353046    686557
2000          340866    360832    701698
2001          332023    351471    683494
2002          337458    357225    694683
2003          339046    358905    697951
2004          357655    378605    736260
2005          345977    366242    712219
2006          338317    358133    696450
2007          340425    360366    700791
2008          362610    383849    746459
2009          362064    383271    745335
2010          367329    388846    756175
2011          368236    389805    758041
2012          358654    379663    738317
2013          366565    388037    754602
2014          377451    399560    777011
2015          374064    395975    770039
