ARG, Deaths (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1994        0             33256.00        43607.00        76863.00
1990-1994        1              2848.00         3274.00         6122.00
1990-1994        2              1390.00         1547.00         2937.00
1990-1994        3               747.00         1060.00         1807.00
1990-1994        4               575.00          745.00         1320.00
1990-1994        5               494.00          596.00         1090.00
1990-1994        6               411.00          568.00          979.00
1990-1994        7               353.00          579.00          932.00
1990-1994        8               359.00          530.00          889.00
1990-1994        9               453.00          639.00         1092.00
1990-1994       10               400.00          598.00          998.00
1990-1994       11               337.00          596.00          933.00
1990-1994       12               390.00          645.00         1035.00
1990-1994       13               452.00          778.00         1230.00
1990-1994       14               530.00          952.00         1482.00
1990-1994       15               615.00         1140.00         1755.00
1990-1994       16               671.00         1404.00         2075.00
1990-1994       17               713.00         1523.00         2236.00
1990-1994       18               691.00         1625.00         2316.00
1990-1994       19               717.00         1834.00         2551.00
1990-1994       20               767.00         1863.00         2630.00
1990-1994       21               771.00         1802.00         2573.00
1990-1994       22               787.00         1808.00         2595.00
1990-1994       23               808.00         1872.00         2680.00
1990-1994       24               783.00         1770.00         2553.00
1990-1994       25               766.00         1847.00         2613.00
1990-1994       26               826.00         1784.00         2610.00
1990-1994       27               808.00         1726.00         2534.00
1990-1994       28               933.00         1742.00         2675.00
1990-1994       29               927.00         1813.00         2740.00
1990-1994       30               970.00         2090.00         3060.00
1990-1994       31               993.00         1823.00         2816.00
1990-1994       32              1092.00         1813.00         2905.00
1990-1994       33              1165.00         1917.00         3082.00
1990-1994       34              1193.00         2112.00         3305.00
1990-1994       35              1310.00         2305.00         3615.00
1990-1994       36              1328.00         2144.00         3472.00
1990-1994       37              1545.00         2469.00         4014.00
1990-1994       38              1753.00         2575.00         4328.00
1990-1994       39              1744.00         2949.00         4693.00
1990-1994       40              1963.00         3460.00         5423.00
1990-1994       41              1980.00         3316.00         5296.00
1990-1994       42              2198.00         3694.00         5892.00
1990-1994       43              2281.00         3863.00         6144.00
1990-1994       44              2299.00         4144.00         6443.00
1990-1994       45              2470.00         4699.00         7169.00
1990-1994       46              2610.00         4774.00         7384.00
1990-1994       47              2765.00         5096.00         7861.00
1990-1994       48              2819.00         5387.00         8206.00
1990-1994       49              2978.00         5804.00         8782.00
1990-1994       50              3301.00         6765.00        10066.00
1990-1994       51              3375.00         6594.00         9969.00
1990-1994       52              3615.00         7163.00        10778.00
1990-1994       53              3550.00         7659.00        11209.00
1990-1994       54              3855.00         8176.00        12031.00
1990-1994       55              4065.00         9022.00        13087.00
1990-1994       56              4347.00         9124.00        13471.00
1990-1994       57              4815.00         9766.00        14581.00
1990-1994       58              5141.00        10918.00        16059.00
1990-1994       59              5463.00        11415.00        16878.00
1990-1994       60              5985.00        13060.00        19045.00
1990-1994       61              6491.00        13081.00        19572.00
1990-1994       62              7053.00        13954.00        21007.00
1990-1994       63              7484.00        14312.00        21796.00
1990-1994       64              7975.00        15188.00        23163.00
1990-1994       65              8292.00        15779.00        24071.00
1990-1994       66              8664.00        15625.00        24289.00
1990-1994       67              9245.00        16424.00        25669.00
1990-1994       68              9935.00        16889.00        26824.00
1990-1994       69             10724.00        17478.00        28202.00
1990-1994       70             11132.00        18071.00        29203.00
1990-1994       71             11525.00        17370.00        28895.00
1990-1994       72             11964.00        17471.00        29435.00
1990-1994       73             12234.00        16785.00        29019.00
1990-1994       74             12986.00        16893.00        29879.00
1990-1994       75             13948.00        16851.00        30799.00
1990-1994       76             14762.00        17065.00        31827.00
1990-1994       77             15522.00        17324.00        32846.00
1990-1994       78             16782.00        17528.00        34310.00
1990-1994       79             17298.00        17011.00        34309.00
1990-1994       80             18091.00        16869.00        34960.00
1990-1994       81             17899.00        15670.00        33569.00
1990-1994       82             18092.00        15047.00        33139.00
1990-1994       83             17794.00        13873.00        31667.00
1990-1994       84             17081.00        12718.00        29799.00
1990-1994       85             16524.00        11616.00        28140.00
1990-1994       86             15451.00        10316.00        25767.00
1990-1994       87             14277.00         9069.00        23346.00
1990-1994       88             13181.00         7926.00        21107.00
1990-1994       89             11881.00         6927.00        18808.00
1990-1994       90             10263.00         5203.00        15466.00
1990-1994       91              8591.00         4285.00        12876.00
1990-1994       92              6966.00         3243.00        10209.00
1990-1994       93              5285.00         2378.00         7663.00
1990-1994       94              4250.00         1812.00         6062.00
1990-1994       95              3130.00         1308.00         4438.00
1990-1994       96              2310.00          929.00         3239.00
1990-1994       97              1699.00          622.00         2321.00
1990-1994       98              1195.00          431.00         1626.00
1990-1994       99              1025.73          471.66         1497.39
1990-1994      100               496.92          184.62          681.54
1990-1994      101               312.58          117.27          429.85
1990-1994      102               190.06           72.34          262.40
1990-1994      103               111.67           43.41          155.08
1990-1994      104                63.55           25.39           88.94
1990-1994      105                35.11           14.53           49.64
1990-1994      106                18.86            8.09           26.95
1990-1994      107                 9.87            4.42           14.29
1990-1994      108                 4.81            0.97            5.78
1990-1994      109                 1.85            0.00            1.85
1990-1994      110+                0.00            0.00            0.00
1995-1999        0             29178.00        38181.00        67359.00
1995-1999        1              2235.00         2723.00         4958.00
1995-1999        2              1284.00         1590.00         2874.00
1995-1999        3               802.00         1019.00         1821.00
1995-1999        4               563.00          855.00         1418.00
