ARG,  Deaths (Lexis triangle)	Last modified: 04 ago. 2019; MPv5 (May07)

 Year   Age   Cohort      Female        Male       Total
 1990    0      1990     5667.00     7554.00    13221.00
 1990    0      1989      931.00     1111.00     2042.00
 1990    1      1989      315.00      374.00      689.00
 1990    1      1988      223.00      246.00      469.00
 1990    2      1988      146.00      195.00      341.00
 1990    2      1987      108.00      136.00      244.00
 1990    3      1987       81.00      124.00      205.00
 1990    3      1986       62.00       91.00      153.00
 1990    4      1986       70.00       82.00      152.00
 1990    4      1985       56.00       63.00      119.00
 1990    5      1985       55.00       62.00      117.00
 1990    5      1984       45.00       50.00       95.00
 1990    6      1984       46.00       49.00       95.00
 1990    6      1983       39.00       42.00       81.00
 1990    7      1983       42.00       60.00      102.00
 1990    7      1982       36.00       52.00       88.00
 1990    8      1982       39.00       57.00       96.00
 1990    8      1981       34.00       52.00       86.00
 1990    9      1981       44.00       59.00      103.00
 1990    9      1980       40.00       55.00       95.00
 1990   10      1980       42.00       57.00       99.00
 1990   10      1979       38.00       55.00       93.00
 1990   11      1979       42.00       60.00      102.00
 1990   11      1978       38.00       59.00       97.00
 1990   12      1978       34.00       62.00       96.00
 1990   12      1977       31.00       61.00       92.00
 1990   13      1977       34.00       72.00      106.00
 1990   13      1976       32.00       72.00      104.00
 1990   14      1976       45.00       84.00      129.00
 1990   14      1975       42.00       84.00      126.00
 1990   15      1975       50.00       89.00      139.00
 1990   15      1974       46.00       89.00      135.00
 1990   16      1974       60.00      130.00      190.00
 1990   16      1973       56.00      129.00      185.00
 1990   17      1973       68.00      128.00      196.00
 1990   17      1972       63.00      127.00      190.00
 1990   18      1972       66.00      129.00      195.00
 1990   18      1971       62.00      125.00      187.00
 1990   19      1971       58.00      148.00      206.00
 1990   19      1970       55.00      142.00      197.00
 1990   20      1970       67.00      162.00      229.00
 1990   20      1969       63.00      154.00      217.00
 1990   21      1969       69.00      162.00      231.00
 1990   21      1968       65.00      152.00      217.00
 1990   22      1968       77.00      166.00      243.00
 1990   22      1967       73.00      154.00      227.00
 1990   23      1967       81.00      166.00      247.00
 1990   23      1966       77.00      153.00      230.00
 1990   24      1966       85.00      165.00      250.00
 1990   24      1965       80.00      152.00      232.00
 1990   25      1965       72.00      144.00      216.00
 1990   25      1964       68.00      132.00      200.00
 1990   26      1964       78.00      153.00      231.00
 1990   26      1963       73.00      140.00      213.00
 1990   27      1963       74.00      138.00      212.00
 1990   27      1962       69.00      127.00      196.00
 1990   28      1962       97.00      151.00      248.00
 1990   28      1961       89.00      139.00      228.00
 1990   29      1961       89.00      177.00      266.00
 1990   29      1960       82.00      163.00      245.00
 1990   30      1960       99.00      197.00      296.00
 1990   30      1959       92.00      182.00      274.00
 1990   31      1959       94.00      145.00      239.00
 1990   31      1958       88.00      135.00      223.00
 1990   32      1958      109.00      158.00      267.00
 1990   32      1957      102.00      148.00      250.00
 1990   33      1957      113.00      174.00      287.00
 1990   33      1956      106.00      163.00      269.00
 1990   34      1956      119.00      195.00      314.00
 1990   34      1955      112.00      183.00      295.00
 1990   35      1955      130.00      210.00      340.00
 1990   35      1954      123.00      198.00      321.00
 1990   36      1954      133.00      218.00      351.00
 1990   36      1953      125.00      206.00      331.00
 1990   37      1953      150.00      227.00      377.00
 1990   37      1952      141.00      215.00      356.00
 1990   38      1952      180.00      251.00      431.00
 1990   38      1951      169.00      238.00      407.00
 1990   39      1951      175.00      284.00      459.00
 1990   39      1950      164.00      271.00      435.00
 1990   40      1950      187.00      336.00      523.00
 1990   40      1949      175.00      321.00      496.00
 1990   41      1949      189.00      313.00      502.00
 1990   41      1948      176.00      300.00      476.00
 1990   42      1948      200.00      339.00      539.00
 1990   42      1947      187.00      323.00      510.00
 1990   43      1947      214.00      371.00      585.00
 1990   43      1946      200.00      354.00      554.00
 1990   44      1946      220.00      365.00      585.00
 1990   44      1945      206.00      348.00      554.00
 1990   45      1945      244.00      486.00      730.00
 1990   45      1944      230.00      461.00      691.00
 1990   46      1944      251.00      445.00      696.00
 1990   46      1943      238.00      420.00      658.00
 1990   47      1943      257.00      479.00      736.00
 1990   47      1942      244.00      450.00      694.00
 1990   48      1942      268.00      509.00      777.00
 1990   48      1941      256.00      476.00      732.00
 1990   49      1941      292.00      557.00      849.00
 1990   49      1940      280.00      518.00      798.00
 1990   50      1940      324.00      673.00      997.00
 1990   50      1939      312.00      624.00      936.00
 1990   51      1939      314.00      633.00      947.00
 1990   51      1938      302.00      586.00      888.00
 1990   52      1938      353.00      676.00     1029.00
 1990   52      1937      339.00      623.00      962.00
 1990   53      1937      346.00      762.00     1108.00
 1990   53      1936      331.00      701.00     1032.00
 1990   54      1936      389.00      859.00     1248.00
 1990   54      1935      371.00      789.00     1160.00
 1990   55      1935      391.00      919.00     1310.00
 1990   55      1934      371.00      843.00     1214.00
 1990   56      1934      422.00      922.00     1344.00
 1990   56      1933      398.00      846.00     1244.00
 1990   57      1933      534.00      995.00     1529.00
 1990   57      1932      501.00      913.00     1414.00
 1990   58      1932      542.00     1170.00     1712.00
 1990   58      1931      508.00     1075.00     1583.00
 1990   59      1931      577.00     1246.00     1823.00
 1990   59      1930      540.00     1147.00     1687.00
 1990   60      1930      649.00     1355.00     2004.00
 1990   60      1929      606.00     1248.00     1854.00
 1990   61      1929      680.00     1309.00     1989.00
 1990   61      1928      633.00     1203.00     1836.00
 1990   62      1928      714.00     1413.00     2127.00
 1990   62      1927      664.00     1295.00     1959.00
 1990   63      1927      739.00     1480.00     2219.00
 1990   63      1926      686.00     1352.00     2038.00
 1990   64      1926      754.00     1507.00     2261.00
 1990   64      1925      699.00     1371.00     2070.00
 1990   65      1925      817.00     1644.00     2461.00
 1990   65      1924      756.00     1487.00     2243.00
 1990   66      1924      851.00     1577.00     2428.00
 1990   66      1923      787.00     1419.00     2206.00
 1990   67      1923      947.00     1695.00     2642.00
 1990   67      1922      874.00     1518.00     2392.00
 1990   68      1922      991.00     1693.00     2684.00
 1990   68      1921      915.00     1509.00     2424.00
 1990   69      1921     1074.00     1775.00     2849.00
 1990   69      1920      991.00     1575.00     2566.00
 1990   70      1920     1104.00     1790.00     2894.00
 1990   70      1919     1017.00     1582.00     2599.00
 1990   71      1919     1087.00     1672.00     2759.00
 1990   71      1918     1000.00     1473.00     2473.00
 1990   72      1918     1174.00     1750.00     2924.00
 1990   72      1917     1078.00     1537.00     2615.00
 1990   73      1917     1235.00     1679.00     2914.00
 1990   73      1916     1132.00     1475.00     2607.00
 1990   74      1916     1377.00     1813.00     3190.00
 1990   74      1915     1258.00     1596.00     2854.00
 1990   75      1915     1536.00     1844.00     3380.00
 1990   75      1914     1400.00     1623.00     3023.00
 1990   76      1914     1630.00     1882.00     3512.00
 1990   76      1913     1481.00     1656.00     3137.00
 1990   77      1913     1675.00     1835.00     3510.00
 1990   77      1912     1518.00     1616.00     3134.00
 1990   78      1912     1736.00     1864.00     3600.00
 1990   78      1911     1567.00     1639.00     3206.00
 1990   79      1911     1793.00     1757.00     3550.00
 1990   79      1910     1608.00     1535.00     3143.00
 1990   80      1910     1770.00     1705.00     3475.00
 1990   80      1909     1576.00     1478.00     3054.00
 1990   81      1909     1829.00     1654.00     3483.00
 1990   81      1908     1616.00     1421.00     3037.00
 1990   82      1908     1822.00     1533.00     3355.00
 1990   82      1907     1600.00     1307.00     2907.00
 1990   83      1907     1808.00     1405.00     3213.00
 1990   83      1906     1577.00     1187.00     2764.00
