ARG, Life expectancy at birth (period, 1x1)	Last modified: 04 ago. 2019; MPv5 (May07)

  Year       Female    Male     Total
  1990        76.76    69.73    73.21
  1991        76.88    69.72    73.27
  1992        76.48    69.14    72.76
  1993        76.64    69.17    72.85
  1994        77.36    69.71    73.50
  1995        76.88    69.32    73.05
  1996        77.31    69.50    73.35
  1997        77.55    69.87    73.67
  1998        77.49    69.83    73.62
  1999        77.42    69.91    73.63
  2000        78.12    70.60    74.35
  2001        78.07    70.61    74.33
  2002        78.10    70.54    74.30
  2003        77.88    70.69    74.27
  2004        78.33    71.44    74.90
  2005        78.70    71.74    75.24
  2006        78.85    71.98    75.45
  2007        78.28    71.41    74.85
  2008        78.91    71.97    75.47
  2009        78.92    72.21    75.60
  2010        78.76    72.22    75.53
  2011        78.90    72.41    75.70
  2012        79.13    72.47    75.84
  2013        79.09    72.52    75.84
