ARG, Exposure to risk (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1994        0           1655227.91      1735918.81      3391146.72
1990-1994        1           1670656.73      1741639.70      3412296.43
1990-1994        2           1677619.62      1742512.80      3420132.42
1990-1994        3           1671013.17      1730675.24      3401688.41
1990-1994        4           1655633.26      1711974.44      3367607.70
1990-1994        5           1634754.98      1689895.11      3324650.10
1990-1994        6           1617229.86      1671534.03      3288763.89
1990-1994        7           1609274.01      1662308.88      3271582.89
1990-1994        8           1609230.16      1660686.62      3269916.77
1990-1994        9           1615830.17      1665450.40      3281280.57
1990-1994       10           1628614.13      1676143.64      3304757.77
1990-1994       11           1645301.82      1690515.24      3335817.06
1990-1994       12           1658690.60      1701454.42      3360145.02
1990-1994       13           1659699.76      1699970.45      3359670.21
1990-1994       14           1642872.62      1680614.20      3323486.82
1990-1994       15           1607167.96      1642347.48      3249515.44
1990-1994       16           1555495.37      1588033.77      3143529.14
1990-1994       17           1495708.32      1525614.20      3021322.51
1990-1994       18           1437429.46      1464899.76      2902329.22
1990-1994       19           1386045.42      1411299.14      2797344.56
1990-1994       20           1342100.76      1365379.76      2707480.51
1990-1994       21           1304751.02      1326273.56      2631024.58
1990-1994       22           1273003.18      1292747.87      2565751.05
1990-1994       23           1245856.40      1263569.14      2509425.54
1990-1994       24           1223197.77      1238599.12      2461796.90
1990-1994       25           1205531.98      1218363.93      2423895.91
1990-1994       26           1192577.07      1202586.20      2395163.27
1990-1994       27           1182869.50      1189444.58      2372314.07
1990-1994       28           1174545.82      1176423.33      2350969.14
1990-1994       29           1166483.82      1161926.44      2328410.26
1990-1994       30           1158359.97      1145374.64      2303734.61
1990-1994       31           1150031.40      1127292.69      2277324.09
1990-1994       32           1141455.05      1109268.82      2250723.87
1990-1994       33           1132633.72      1093024.00      2225657.71
1990-1994       34           1123445.16      1079407.66      2202852.82
1990-1994       35           1113640.73      1068344.99      2181985.72
1990-1994       36           1102997.66      1059326.56      2162324.22
1990-1994       37           1090987.43      1050543.96      2141531.38
1990-1994       38           1076878.92      1039697.63      2116576.55
1990-1994       39           1060391.77      1025545.38      2085937.15
1990-1994       40           1041506.19      1007845.51      2049351.70
1990-1994       41           1020542.06       987353.20      2007895.26
1990-1994       42            998079.06       965116.97      1963196.03
1990-1994       43            974684.42       942205.51      1916889.94
1990-1994       44            950818.81       919299.45      1870118.26
1990-1994       45            926616.65       896361.13      1822977.78
1990-1994       46            902263.54       873558.75      1775822.30
1990-1994       47            878370.71       851090.04      1729460.75
1990-1994       48            855847.74       829043.89      1684891.62
1990-1994       49            835267.42       807526.11      1642793.53
1990-1994       50            816631.74       786348.58      1602980.32
1990-1994       51            799925.38       766034.49      1565959.87
1990-1994       52            785097.11       747061.00      1532158.10
1990-1994       53            772172.46       729558.72      1501731.18
1990-1994       54            761085.34       713779.91      1474865.25
1990-1994       55            751574.30       699419.72      1450994.02
1990-1994       56            743431.05       686477.93      1429908.98
1990-1994       57            736118.90       674676.05      1410794.95
1990-1994       58            729078.04       663080.27      1392158.30
1990-1994       59            722022.55       651424.21      1373446.76
1990-1994       60            714749.91       639253.23      1354003.14
1990-1994       61            707013.51       626600.23      1333613.75
1990-1994       62            698016.00       612980.22      1310996.21
1990-1994       63            686773.75       597122.83      1283896.58
1990-1994       64            672739.99       578272.60      1251012.59
1990-1994       65            655845.03       556193.20      1212038.23
1990-1994       66            636429.11       531704.93      1168134.03
1990-1994       67            614879.02       505269.92      1120148.94
1990-1994       68            591533.48       477316.29      1068849.77
