ARG,  Exposures (Lexis triangle)	Last modified: 04 ago. 2019; MPv5 (May07)

 Year   Age   Cohort      Female        Male       Total
 1990    0      1990   170097.97   177256.29   347354.26
 1990    0      1989   174300.83   179908.71   354209.54
 1990    1      1989   173664.18   179201.30   352865.48
 1990    1      1988   167753.46   173397.63   341151.08
 1990    2      1988   167622.72   173240.74   340863.46
 1990    2      1987   163402.63   169060.33   332462.96
 1990    3      1987   163446.53   169068.43   332514.96
 1990    3      1986   160823.67   166439.46   327263.13
 1990    4      1986   160915.42   166497.99   327413.41
 1990    4      1985   159694.29   165220.13   324914.42
 1990    5      1985   159743.00   165240.06   324983.06
 1990    5      1984   159697.38   165096.54   324793.92
 1990    6      1984   159674.77   165043.31   324718.08
 1990    6      1983   160525.38   165764.75   326290.13
 1990    7      1983   160478.17   165681.58   326159.75
 1990    7      1982   161868.13   166918.71   328786.83
 1990    8      1982   161854.94   166863.46   328718.40
 1990    8      1981   163416.83   168251.46   331668.29
 1990    9      1981   163445.99   168236.25   331682.25
 1990    9      1980   165174.58   169771.58   334946.17
 1990   10      1980   165230.01   169784.11   335014.12
 1990   10      1979   167455.67   171797.71   339253.38
 1990   11      1979   167465.08   171764.47   339229.55
 1990   11      1978   168700.42   172781.79   341482.21
 1990   12      1978   168582.20   172619.56   341201.76
 1990   12      1977   166409.96   170241.71   336651.67
 1990   13      1977   166190.34   169973.06   336163.40
 1990   13      1976   160591.29   164186.50   324777.79
 1990   14      1976   160375.28   163917.26   324292.54
 1990   14      1975   153593.75   156948.88   310542.63
 1990   15      1975   153432.10   156736.03   310168.13
 1990   15      1974   146674.08   149773.79   296447.88
 1990   16      1974   146571.03   149610.84   296181.86
 1990   16      1973   140143.92   143000.38   283144.29
 1990   17      1973   140110.89   142902.00   283012.89
 1990   17      1972   135087.63   137753.08   272840.71
 1990   18      1972   135098.85   137702.45   272801.30
 1990   18      1971   131666.67   134200.04   265866.71
 1990   19      1971   131665.59   134127.67   265793.25
 1990   19      1970   128766.08   131171.33   259937.42
 1990   20      1970   128718.70   131039.91   259758.61
 1990   20      1969   125692.75   127933.08   253625.83
 1990   21      1969   125619.11   127772.18   253391.28
 1990   21      1968   122924.17   124963.67   247887.83
 1990   22      1968   122854.37   124809.41   247663.78
 1990   22      1967   120910.08   122702.83   243612.92
 1990   23      1967   120855.38   122567.11   243422.49
