ARG, Death rates (period 1x10), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1999        0             0.018979        0.023667        0.021381
1990-1999        1             0.001537        0.001736        0.001639
1990-1999        2             0.000805        0.000907        0.000857
1990-1999        3             0.000466        0.000602        0.000535
1990-1999        4             0.000342        0.000464        0.000404
1990-1999        5             0.000282        0.000361        0.000322
1990-1999        6             0.000253        0.000335        0.000294
1990-1999        7             0.000230        0.000335        0.000283
1990-1999        8             0.000216        0.000310        0.000264
1990-1999        9             0.000252        0.000343        0.000298
1990-1999       10             0.000242        0.000328        0.000286
1990-1999       11             0.000223        0.000332        0.000278
1990-1999       12             0.000238        0.000360        0.000300
1990-1999       13             0.000268        0.000454        0.000362
1990-1999       14             0.000334        0.000541        0.000439
1990-1999       15             0.000395        0.000696        0.000547
1990-1999       16             0.000450        0.000890        0.000672
1990-1999       17             0.000481        0.001059        0.000773
1990-1999       18             0.000490        0.001200        0.000849
1990-1999       19             0.000516        0.001335        0.000929
1990-1999       20             0.000578        0.001440        0.001013
1990-1999       21             0.000577        0.001403        0.000993
1990-1999       22             0.000612        0.001456        0.001037
1990-1999       23             0.000629        0.001567        0.001101
1990-1999       24             0.000647        0.001541        0.001097
1990-1999       25             0.000684        0.001668        0.001178
1990-1999       26             0.000707        0.001634        0.001173
1990-1999       27             0.000736        0.001633        0.001186
1990-1999       28             0.000779        0.001664        0.001222
1990-1999       29             0.000831        0.001694        0.001263
1990-1999       30             0.000884        0.001980        0.001431
1990-1999       31             0.000877        0.001749        0.001311
1990-1999       32             0.000968        0.001789        0.001376
1990-1999       33             0.001025        0.001884        0.001450
1990-1999       34             0.001070        0.001974        0.001516
1990-1999       35             0.001170        0.002257        0.001705
1990-1999       36             0.001211        0.002190        0.001692
1990-1999       37             0.001339        0.002387        0.001853
1990-1999       38             0.001534        0.002531        0.002022
1990-1999       39             0.001605        0.002828        0.002204
1990-1999       40             0.001781        0.003348        0.002549
1990-1999       41             0.001892        0.003262        0.002563
1990-1999       42             0.002081        0.003698        0.002873
1990-1999       43             0.002273        0.003971        0.003105
1990-1999       44             0.002385        0.004415        0.003380
1990-1999       45             0.002643        0.005127        0.003860
1990-1999       46             0.002780        0.005413        0.004071
1990-1999       47             0.003069        0.005912        0.004463
1990-1999       48             0.003303        0.006493        0.004866
1990-1999       49             0.003680        0.007168        0.005388
1990-1999       50             0.004002        0.008539        0.006221
1990-1999       51             0.004288        0.008455        0.006323
1990-1999       52             0.004603        0.009386        0.006934
1990-1999       53             0.004715        0.010434        0.007496
1990-1999       54             0.005132        0.011182        0.008065
1990-1999       55             0.005464        0.012667        0.008942
1990-1999       56             0.006057        0.013344        0.009562
1990-1999       57             0.006505        0.014330        0.010252
1990-1999       58             0.006907        0.016008        0.011244
1990-1999       59             0.007576        0.017082        0.012085
1990-1999       60             0.008285        0.019867        0.013749
1990-1999       61             0.008921        0.020125        0.014178
1990-1999       62             0.009735        0.022197        0.015550
1990-1999       63             0.010537        0.023913        0.016741
1990-1999       64             0.011742        0.026253        0.018429
1990-1999       65             0.012661        0.028570        0.019940
1990-1999       66             0.013576        0.030148        0.021100
1990-1999       67             0.015088        0.032846        0.023082
1990-1999       68             0.016608        0.035644        0.025099
1990-1999       69             0.018490        0.038462        0.027308
1990-1999       70             0.020118        0.042292        0.029798
1990-1999       71             0.021832        0.044492        0.031604
1990-1999       72             0.024472        0.048471        0.034690
1990-1999       73             0.026930        0.051757        0.037359
1990-1999       74             0.030175        0.057450        0.041468
1990-1999       75             0.034251        0.062380        0.045720
1990-1999       76             0.038692        0.068628        0.050707
1990-1999       77             0.042812        0.074878        0.055478
1990-1999       78             0.049016        0.082043        0.061855
1990-1999       79             0.055129        0.089286        0.068179
1990-1999       80             0.060568        0.097476        0.074176
1990-1999       81             0.067241        0.104839        0.080803
1990-1999       82             0.075105        0.115893        0.089497
1990-1999       83             0.084474        0.125650        0.098681
1990-1999       84             0.094466        0.137138        0.108869
1990-1999       85             0.106978        0.150766        0.121436
1990-1999       86             0.118222        0.164997        0.133319
1990-1999       87             0.131432        0.178313        0.146199
1990-1999       88             0.147409        0.195459        0.162151
1990-1999       89             0.165762        0.218956        0.181627
1990-1999       90             0.181210        0.230029        0.195378
1990-1999       91             0.200101        0.251668        0.214679
1990-1999       92             0.222066        0.267150        0.234513
1990-1999       93             0.238505        0.282844        0.250511
1990-1999       94             0.268220        0.309056        0.279054
1990-1999       95             0.288934        0.338049        0.301681
1990-1999       96             0.310037        0.337413        0.317048
1990-1999       97             0.337215        0.365078        0.344344
1990-1999       98             0.356715        0.359553        0.357446
1990-1999       99             0.476662        0.628826        0.514748
1990-1999      100             0.419495        0.446463        0.425778
1990-1999      101             0.447527        0.472498        0.453327
1990-1999      102             0.476462        0.500959        0.482132
1990-1999      103             0.506795        0.535588        0.513443
1990-1999      104             0.540009        0.581915        0.549632
1990-1999      105             0.579657        0.657051        0.596985
1990-1999      106             0.637419        0.817471        0.674603
1990-1999      107             0.748011        1.312444        0.835457
1990-1999      108             1.018851        1.013937        1.018453
1990-1999      109             2.050081        0.000000        1.919818
1990-1999      110+            0.000000              .        0.000000
2000-2009        0             0.013203        0.016115        0.014698
2000-2009        1             0.000956        0.001010        0.000983
2000-2009        2             0.000622        0.000720        0.000672
2000-2009        3             0.000396        0.000484        0.000441
2000-2009        4             0.000297        0.000367        0.000333
2000-2009        5             0.000276        0.000322        0.000300
2000-2009        6             0.000217        0.000284        0.000251
2000-2009        7             0.000225        0.000283        0.000254
2000-2009        8             0.000208        0.000264        0.000236
2000-2009        9             0.000203        0.000269        0.000236
2000-2009       10             0.000220        0.000266        0.000243
2000-2009       11             0.000208        0.000289        0.000249
2000-2009       12             0.000236        0.000324        0.000281
2000-2009       13             0.000273        0.000389        0.000332
2000-2009       14             0.000297        0.000503        0.000402
2000-2009       15             0.000403        0.000650        0.000528
2000-2009       16             0.000423        0.000865        0.000647
2000-2009       17             0.000458        0.001104        0.000786
2000-2009       18             0.000454        0.001302        0.000884
2000-2009       19             0.000469        0.001377        0.000929
2000-2009       20             0.000479        0.001450        0.000971
2000-2009       21             0.000477        0.001430        0.000959
2000-2009       22             0.000486        0.001456        0.000976
2000-2009       23             0.000518        0.001469        0.000998
2000-2009       24             0.000523        0.001429        0.000980
2000-2009       25             0.000558        0.001507        0.001036
2000-2009       26             0.000555        0.001431        0.000995
2000-2009       27             0.000582        0.001404        0.000995
2000-2009       28             0.000622        0.001474        0.001050
2000-2009       29             0.000670        0.001515        0.001094
2000-2009       30             0.000728        0.001634        0.001183
2000-2009       31             0.000759        0.001571        0.001166
2000-2009       32             0.000797        0.001618        0.001208
2000-2009       33             0.000866        0.001684        0.001275
2000-2009       34             0.000939        0.001760        0.001350
2000-2009       35             0.001008        0.001965        0.001487
2000-2009       36             0.001091        0.001913        0.001502
2000-2009       37             0.001142        0.002065        0.001603
2000-2009       38             0.001309        0.002236        0.001771
2000-2009       39             0.001348        0.002272        0.001807
2000-2009       40             0.001503        0.002681        0.002087
2000-2009       41             0.001569        0.002747        0.002151
2000-2009       42             0.001739        0.002991        0.002356
2000-2009       43             0.001939        0.003183        0.002550
2000-2009       44             0.002101        0.003576        0.002823
2000-2009       45             0.002277        0.004140        0.003187
2000-2009       46             0.002472        0.004372        0.003398
2000-2009       47             0.002655        0.004775        0.003686
2000-2009       48             0.003025        0.005386        0.004171
2000-2009       49             0.003260        0.006049        0.004611
2000-2009       50             0.003619        0.007206        0.005355
2000-2009       51             0.003856        0.007317        0.005529
2000-2009       52             0.004235        0.008169        0.006135
2000-2009       53             0.004683        0.008798        0.006668
2000-2009       54             0.005001        0.009827        0.007326
2000-2009       55             0.005396        0.011004        0.008093
2000-2009       56             0.005866        0.011922        0.008772
2000-2009       57             0.006286        0.012902        0.009452
2000-2009       58             0.006778        0.014115        0.010279
2000-2009       59             0.007400        0.015025        0.011026
2000-2009       60             0.008088        0.017578        0.012581
2000-2009       61             0.008569        0.017946        0.012987
2000-2009       62             0.009335        0.019747        0.014213
2000-2009       63             0.010086        0.021490        0.015394
2000-2009       64             0.010837        0.023092        0.016500
2000-2009       65             0.011853        0.025674        0.018188
2000-2009       66             0.012532        0.026702        0.018968
2000-2009       67             0.013775        0.029370        0.020789
