ARG, Population size (abridged)	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
  1990           0            348912.00       360187.75       709099.75
  1990           1            335581.25       346877.25       682458.50
  1990           2            326841.25       338166.00       665007.25
  1990           3            321668.00       332909.25       654577.25
  1990           4            319407.25       330461.25       649868.50
  1990           5            319409.75       330209.75       649619.50
  1990           6            321063.75       331543.50       652607.25
  1990           7            323748.25       333854.75       657603.00
  1990           8            326845.00       336520.25       663365.25
  1990           9            330362.50       339561.50       669924.00
  1990          10            334924.00       343613.75       678537.75
  1990          11            337413.50       345583.25       682996.75
  1990          12            332830.25       340503.75       673334.00
  1990          13            321193.25       328397.00       649590.25
  1990          14            307201.50       313925.75       621127.25
  1990          15            293363.50       299577.25       592940.75
  1990          16            280306.50       286043.75       566350.25
  1990          17            270196.25       275548.50       545744.75
  1990          18            263354.00       268441.75       531795.75
  1990          19            257550.50       262390.00       519940.50
  1990          20            251406.50       255917.50       507324.00
  1990          21            245870.00       249978.00       495848.00
  1990          22            241844.50       245457.00       487301.50
  1990          23            239255.00       242263.50       481518.50
  1990          24            237424.50       239783.50       477208.00
  1990          25            235972.00       237758.25       473730.25
  1990          26            234730.25       235743.50       470473.75
  1990          27            233275.50       232824.50       466100.00
  1990          28            231517.00       228980.00       460497.00
  1990          29            229724.75       224962.00       454686.75
  1990          30            228075.50       221064.25       449139.75
  1990          31            226391.25       217505.75       443897.00
  1990          32            224562.25       215007.00       439569.25
  1990          33            222522.25       213488.50       436010.75
  1990          34            220316.00       212227.25       432543.25
  1990          35            218022.50       210897.50       428920.00
  1990          36            215362.75       209131.25       424494.00
  1990          37            211916.75       206147.50       418064.25
  1990          38            207681.50       201926.50       409608.00
  1990          39            203096.75       197279.75       400376.50
  1990          40            198493.00       192657.50       391150.50
  1990          41            193786.50       187972.75       381759.25
  1990          42            188958.75       183419.00       372377.75
  1990          43            184073.00       179016.75       363089.75
  1990          44            179205.50       174657.50       353863.00
  1990          45            174381.25       170324.50       344705.75
  1990          46            169820.25       165980.75       335801.00
  1990          47            165914.00       161885.75       327799.75
  1990          48            162705.00       158018.25       320723.25
  1990          49            159847.50       154331.25       314178.75
  1990          50            157078.50       150707.75       307786.25
  1990          51            154586.25       147271.00       301857.25
  1990          52            152665.75       144524.75       297190.50
  1990          53            151231.50       142412.50       293644.00
  1990          54            150037.00       140504.50       290541.50
  1990          55            148829.75       138499.25       287329.00
  1990          56            147676.50       136465.25       284141.75
  1990          57            146550.25       134519.25       281069.50
  1990          58            145279.25       132558.75       277838.00
  1990          59            143921.75       130428.00       274349.75
  1990          60            142508.50       128213.75       270722.25
  1990          61            140654.25       125487.50       266141.75
  1990          62            137842.25       121806.25       259648.50
  1990          63            134051.50       117035.25       251086.75
  1990          64            129817.50       111810.75       241628.25
  1990          65            125476.25       106525.50       232001.75
  1990          66            120938.50       100998.00       221936.50
  1990          67            116259.25        95431.25       211690.50
  1990          68            111435.75        89738.00       201173.75
  1990          69            106517.75        84060.75       190578.50
  1990          70            101470.00        78334.00       179804.00
  1990          71             96391.50        72668.25       169059.75
  1990          72             91404.25        67262.00       158666.25
  1990          73             86491.25        62044.00       148535.25
  1990          74             81754.50        57233.50       138988.00
  1990          75             77178.00        52715.25       129893.25
  1990          76             72753.50        48606.25       121359.75
  1990          77             68556.50        44951.50       113508.00
  1990          78             64670.00        41865.00       106535.00
  1990          79             57056.50        35984.50        93041.00
  1990          80             52205.36        31195.71        83401.07
  1990          81             46146.71        27225.40        73372.11
  1990          82             40382.37        22874.53        63256.90
  1990          83             35018.37        19408.71        54427.08
  1990          84             30678.20        16637.68        47315.88
  1990          85             26436.38        13966.67        40403.05
  1990          86             22060.63        11191.78        33252.41
  1990          87             18169.16         8612.76        26781.92
  1990          88             15078.32         6870.92        21949.24
  1990          89             12135.00         5381.34        17516.34
  1990          90              8803.68         3819.63        12623.31
  1990          91              6293.12         2723.54         9016.66
  1990          92              4784.31         2038.10         6822.41
  1990          93              3608.09         1466.83         5074.92
  1990          94              2582.35          988.28         3570.63
  1990          95              1781.72          659.79         2441.51
  1990          96              1219.92          460.78         1680.70
  1990          97               831.51          321.33         1152.84
  1990          98               560.08          222.83          782.91
  1990          99               333.40          134.43          467.83
  1990         100               188.47           73.14          261.61
  1990         101               111.03           44.22          155.25
  1990         102                64.06           25.89           89.95
  1990         103                35.71           14.98           50.69
  1990         104                19.39            8.47           27.86
  1990         105                10.26            4.13           14.39
  1990         106                 4.57            1.90            6.47
  1990         107                 2.39            0.87            3.26
  1990         108                 0.88            0.27            1.15
  1990         109                 0.26            0.00            0.26
  1990         110+                0.00            0.00            0.00
  1991           0            338306.94       351994.58       690301.52
  1991           1            347223.35       358277.94       705501.29
  1991           2            335196.78       346416.47       681613.25
  1991           3            326866.06       338095.53       664961.59
  1991           4            321807.50       332968.65       654776.15
  1991           5            319467.66       330459.46       649927.12
  1991           6            319334.21       330070.29       649404.50
  1991           7            320942.35       331343.15       652285.50
  1991           8            323696.88       333707.92       657404.80
  1991           9            326877.32       336452.84       663330.16
