ARG, Population size (1-year)	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
  1990           0            348912.00       360187.75       709099.75
  1990         1-4           1303497.75      1348413.75      2651911.50
  1990         5-9           1621429.25      1671689.75      3293119.00
  1990        10-14          1633562.50      1672023.50      3305586.00
  1990        15-19          1364770.75      1392001.25      2756772.00
  1990        20-24          1215800.50      1233399.50      2449200.00
  1990        25-29          1165219.50      1160268.25      2325487.75
  1990        30-34          1121867.25      1079292.75      2201160.00
  1990        35-39          1056080.25      1025382.50      2081462.75
  1990        40-44           944516.75       917723.50      1862240.25
  1990        45-49           832668.00       810540.50      1643208.50
  1990        50-54           765599.00       725420.50      1491019.50
  1990        55-59           732257.50       672470.50      1404728.00
  1990        60-64           684874.00       604353.50      1289227.50
  1990        65-69           580627.50       476753.50      1057381.00
  1990        70-74           457511.50       337541.75       795053.25
  1990        75-79           340214.50       224122.50       564337.00
  1990        80-84           204431.01       117342.03       321773.04
  1990        85-89            93879.49        46023.47       139902.96
  1990        90-94            26071.55        11036.38        37107.93
  1990        95-99             4726.63         1799.16         6525.79
  1990       100-104             418.66          166.70          585.36
  1990       105-109              18.36            7.17           25.53
  1990       110+                  0.00            0.00            0.00
  1991           0            338306.94       351994.58       690301.52
  1991         1-4           1331093.69      1375758.59      2706852.28
  1991         5-9           1610318.42      1662033.66      3272352.08
  1991        10-14          1655620.15      1696005.23      3351625.38
  1991        15-19          1413656.23      1441949.97      2855606.20
  1991        20-24          1235097.82      1254063.16      2489160.98
  1991        25-29          1171999.92      1173152.87      2345152.79
  1991        30-34          1130187.83      1090050.76      2220238.59
  1991        35-39          1071760.20      1037785.45      2109545.65
  1991        40-44           966437.90       936944.05      1903381.95
  1991        45-49           849486.62       826145.44      1675632.06
  1991        50-54           771961.31       732486.11      1504447.42
  1991        55-59           733490.78       672760.86      1406251.64
  1991        60-64           691964.98       609449.76      1301414.74
  1991        65-69           594472.17       488359.62      1082831.79
  1991        70-74           468141.41       346483.05       814624.46
