ARG, Life tables (period 5x10), Total	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1990-1999        0      0.02138  0.02098  0.11  100000    2098   98127  7329402  73.29
1990-1999      1-4      0.00086  0.00343  1.41   97902     336  390739  7231274  73.86
1990-1999      5-9      0.00029  0.00146  2.44   97566     143  487467  6840535  70.11
1990-1999     10-14     0.00033  0.00166  2.73   97424     162  486751  6353068  65.21
1990-1999     15-19     0.00075  0.00376  2.75   97262     366  485484  5866317  60.31
1990-1999     20-24     0.00105  0.00523  2.55   96896     506  483237  5380833  55.53
1990-1999     25-29     0.00120  0.00600  2.53   96389     579  480518  4897596  50.81
1990-1999     30-34     0.00142  0.00706  2.54   95810     676  477389  4417077  46.10
1990-1999     35-39     0.00189  0.00943  2.64   95134     897  473549  3939689  41.41
1990-1999     40-44     0.00289  0.01437  2.65   94237    1354  467998  3466139  36.78
1990-1999     45-49     0.00453  0.02239  2.66   92883    2080  459549  2998142  32.28
1990-1999     50-54     0.00700  0.03443  2.62   90803    3127  446588  2538593  27.96
1990-1999     55-59     0.01040  0.05075  2.63   87676    4450  427845  2092005  23.86
1990-1999     60-64     0.01569  0.07564  2.62   83227    6295  401152  1664160  20.00
1990-1999     65-69     0.02322  0.11000  2.61   76932    8462  364470  1263008  16.42
1990-1999     70-74     0.03478  0.16049  2.60   68469   10989  315935   898538  13.12
1990-1999     75-79     0.05576  0.24574  2.59   57481   14125  253319   582603  10.14
1990-1999     80-84     0.08885  0.36387  2.51   43355   15776  177552   329284   7.60
1990-1999     85-89     0.14463  0.52583  2.41   27580   14502  100268   151732   5.50
1990-1999     90-94     0.22571  0.69267  2.21   13077    9058   40133    51464   3.94
1990-1999     95-99     0.33715  0.83374  1.97    4019    3351    9939    11331   2.82
1990-1999    100-104    0.47117  0.92140  1.70     668     616    1307     1392   2.08
1990-1999    105-109    0.61170  0.96423  1.45      53      51      83       85   1.63
1990-1999    110+       0.72116  1.00000  1.39       2       2       3        3   1.39
2000-2009        0      0.01470  0.01450  0.09  100000    1450   98679  7489291  74.89
2000-2009      1-4      0.00061  0.00243  1.55   98550     239  393613  7390612  74.99
2000-2009      5-9      0.00026  0.00128  2.39   98310     126  491224  6996999  71.17
2000-2009     10-14     0.00030  0.00151  2.76   98185     148  490594  6505775  66.26
2000-2009     15-19     0.00075  0.00377  2.77   98037     369  489363  6015181  61.36
2000-2009     20-24     0.00098  0.00487  2.51   97668     476  487154  5525818  56.58
2000-2009     25-29     0.00103  0.00516  2.53   97192     501  484723  5038664  51.84
2000-2009     30-34     0.00124  0.00616  2.57   96691     596  482006  4553941  47.10
2000-2009     35-39     0.00163  0.00814  2.61   96095     782  478605  4071936  42.37
2000-2009     40-44     0.00239  0.01190  2.65   95313    1134  473903  3593331  37.70
2000-2009     45-49     0.00381  0.01887  2.68   94179    1777  466777  3119428  33.12
2000-2009     50-54     0.00620  0.03054  2.65   92402    2822  455383  2652650  28.71
2000-2009     55-59     0.00951  0.04651  2.64   89580    4166  438052  2197267  24.53
2000-2009     60-64     0.01431  0.06917  2.61   85414    5908  412977  1759215  20.60
2000-2009     65-69     0.02098  0.09988  2.61   79506    7941  378582  1346238  16.93
2000-2009     70-74     0.03187  0.14805  2.60   71565   10595  332418   967656  13.52
2000-2009     75-79     0.05024  0.22411  2.59   60970   13664  271955   635238  10.42
2000-2009     80-84     0.08601  0.35521  2.55   47306   16803  195377   363283   7.68
2000-2009     85-89     0.14510  0.52610  2.39   30502   16047  110593   167905   5.50
2000-2009     90-94     0.22268  0.68748  2.22   14455    9938   44627    57312   3.96
2000-2009     95-99     0.33844  0.83530  1.97    4518    3773   11150    12685   2.81
2000-2009    100-104    0.47587  0.92374  1.69     744     687    1444     1535   2.06
2000-2009    105-109    0.61981  0.96599  1.44      57      55      88       91   1.61
2000-2009    110+       0.73135  1.00000  1.37       2       2       3        3   1.37
2010-2013        0      0.01156  0.01144  0.08  100000    1144   98948  7573722  75.74
2010-2013      1-4      0.00048  0.00190  1.58   98856     188  394970  7474774  75.61
2010-2013      5-9      0.00021  0.00105  2.41   98668     103  493073  7079804  71.75
2010-2013     10-14     0.00028  0.00140  2.82   98565     138  492524  6586731  66.83
2010-2013     15-19     0.00083  0.00413  2.81   98427     406  491245  6094206  61.92
2010-2013     20-24     0.00106  0.00527  2.45   98021     517  488787  5602961  57.16
2010-2013     25-29     0.00104  0.00519  2.51   97504     507  486258  5114174  52.45
2010-2013     30-34     0.00117  0.00581  2.53   96997     564  483593  4627916  47.71
2010-2013     35-39     0.00150  0.00748  2.62   96434     721  480453  4144323  42.98
2010-2013     40-44     0.00220  0.01093  2.63   95712    1046  476079  3663870  38.28
2010-2013     45-49     0.00341  0.01692  2.68   94666    1602  469619  3187791  33.67
2010-2013     50-54     0.00546  0.02697  2.67   93064    2510  459471  2718172  29.21
2010-2013     55-59     0.00869  0.04260  2.65   90554    3857  443716  2258701  24.94
2010-2013     60-64     0.01358  0.06577  2.64   86697    5702  420016  1814985  20.93
2010-2013     65-69     0.02038  0.09716  2.61   80995    7869  386144  1394969  17.22
2010-2013     70-74     0.02982  0.13912  2.59   73125   10173  341113  1008825  13.80
2010-2013     75-79     0.04504  0.20323  2.60   62952   12794  284083   667711  10.61
2010-2013     80-84     0.07685  0.32328  2.55   50158   16215  210993   383628   7.65
2010-2013     85-89     0.14795  0.54551  2.59   33943   18516  125149   172635   5.09
2010-2013     90-94     0.30224  0.79426  2.01   15427   12253   40540    47486   3.08
2010-2013     95-99     0.44507  0.91354  1.77    3174    2899    6515     6946   2.19
2010-2013    100-104    0.63253  0.97008  1.43     274     266     421      431   1.57
2010-2013    105-109    0.79159  0.98751  1.20       8       8      10       10   1.26
2010-2013    110+       0.88722  1.00000  1.13       0       0       0        0   1.13
