ARG, Life tables (period 1x1), Females	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1990           0      0.01916  0.01884  0.11  100000    1884   98317  7675831  76.76
  1990           1      0.00158  0.00157  0.50   98116     154   98039  7577514  77.23
  1990           2      0.00077  0.00077  0.50   97962      75   97924  7479475  76.35
  1990           3      0.00044  0.00044  0.50   97887      43   97865  7381550  75.41
  1990           4      0.00039  0.00039  0.50   97844      38   97824  7283685  74.44
  1990           5      0.00031  0.00031  0.50   97805      31   97790  7185861  73.47
  1990           6      0.00027  0.00027  0.50   97775      26   97762  7088071  72.49
  1990           7      0.00024  0.00024  0.50   97749      24   97737  6990309  71.51
  1990           8      0.00022  0.00022  0.50   97725      22   97714  6892572  70.53
  1990           9      0.00026  0.00026  0.50   97703      25   97691  6794858  69.55
  1990          10      0.00024  0.00024  0.50   97678      23   97666  6697168  68.56
  1990          11      0.00024  0.00024  0.50   97655      23   97643  6599501  67.58
  1990          12      0.00019  0.00019  0.50   97631      19   97622  6501858  66.60
  1990          13      0.00020  0.00020  0.50   97612      20   97603  6404236  65.61
  1990          14      0.00028  0.00028  0.50   97593      27   97579  6306634  64.62
  1990          15      0.00032  0.00032  0.50   97566      31   97550  6209055  63.64
  1990          16      0.00040  0.00040  0.50   97534      39   97515  6111505  62.66
  1990          17      0.00048  0.00048  0.50   97495      46   97472  6013990  61.69
  1990          18      0.00048  0.00048  0.50   97449      47   97425  5916518  60.71
  1990          19      0.00043  0.00043  0.50   97402      42   97381  5819093  59.74
  1990          20      0.00051  0.00051  0.50   97360      50   97335  5721712  58.77
  1990          21      0.00054  0.00054  0.50   97310      52   97284  5624377  57.80
  1990          22      0.00062  0.00062  0.50   97257      60   97228  5527094  56.83
  1990          23      0.00066  0.00066  0.50   97198      64   97166  5429866  55.86
  1990          24      0.00069  0.00069  0.50   97134      67   97100  5332700  54.90
