ARG, Life tables (period 5x10), Males	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1990-1999        0      0.02367  0.02318  0.11  100000    2318   97934  6958593  69.59
1990-1999      1-4      0.00093  0.00370  1.44   97682     362  389805  6860659  70.23
1990-1999      5-9      0.00034  0.00168  2.46   97321     164  486188  6470855  66.49
1990-1999     10-14     0.00040  0.00201  2.77   97157     196  485349  5984666  61.60
1990-1999     15-19     0.00104  0.00517  2.80   96961     501  483707  5499318  56.72
1990-1999     20-24     0.00148  0.00738  2.55   96460     712  480556  5015610  52.00
1990-1999     25-29     0.00166  0.00826  2.51   95749     791  476772  4535055  47.36
1990-1999     30-34     0.00188  0.00933  2.51   94958     886  472582  4058283  42.74
1990-1999     35-39     0.00244  0.01212  2.62   94072    1140  467642  3585701  38.12
1990-1999     40-44     0.00374  0.01852  2.64   92932    1721  460605  3118059  33.55
1990-1999     45-49     0.00602  0.02966  2.66   91211    2706  449721  2657455  29.14
1990-1999     50-54     0.00959  0.04686  2.63   88505    4148  432704  2207734  24.94
1990-1999     55-59     0.01465  0.07080  2.63   84357    5973  407615  1775031  21.04
1990-1999     60-64     0.02240  0.10628  2.60   78385    8330  371950  1367416  17.44
1990-1999     65-69     0.03297  0.15269  2.59   70054   10696  324456   995465  14.21
1990-1999     70-74     0.04853  0.21691  2.56   59358   12876  265322   671009  11.30
1990-1999     75-79     0.07444  0.31436  2.53   46482   14612  196298   405688   8.73
1990-1999     80-84     0.11391  0.44104  2.44   31870   14056  123392   209389   6.57
1990-1999     85-89     0.17587  0.59793  2.32   17814   10652   60567    85997   4.83
1990-1999     90-94     0.25847  0.74053  2.12    7162    5304   20521    25430   3.55
1990-1999     95-99     0.36437  0.85519  1.90    1858    1589    4362     4909   2.64
1990-1999    100-104    0.48423  0.92547  1.66     269     249     514      547   2.03
1990-1999    105-109    0.60657  0.96231  1.45      20      19      32       33   1.64
1990-1999    110+       0.70215  1.00000  1.42       1       1       1        1   1.42
2000-2009        0      0.01612  0.01588  0.09  100000    1588   98552  7133468  71.33
2000-2009      1-4      0.00065  0.00258  1.58   98412     254  393033  7034916  71.48
2000-2009      5-9      0.00028  0.00142  2.41   98158     140  490429  6641883  67.67
2000-2009     10-14     0.00035  0.00177  2.82   98019     173  489716  6151454  62.76
2000-2009     15-19     0.00106  0.00528  2.85   97845     517  488117  5661738  57.86
2000-2009     20-24     0.00145  0.00721  2.50   97328     702  484885  5173621  53.16
2000-2009     25-29     0.00147  0.00730  2.51   96627     706  481372  4688737  48.52
2000-2009     30-34     0.00165  0.00823  2.54   95921     790  477662  4207364  43.86
2000-2009     35-39     0.00209  0.01040  2.59   95131     989  473268  3729702  39.21
2000-2009     40-44     0.00303  0.01506  2.64   94142    1418  467365  3256434  34.59
2000-2009     45-49     0.00494  0.02442  2.69   92724    2264  458380  2789070  30.08
2000-2009     50-54     0.00825  0.04048  2.65   90460    3662  443681  2330689  25.76
2000-2009     55-59     0.01297  0.06290  2.63   86798    5460  421061  1887009  21.74
2000-2009     60-64     0.01991  0.09503  2.61   81338    7730  388187  1465947  18.02
2000-2009     65-69     0.02964  0.13836  2.60   73609   10185  343604  1077761  14.64
2000-2009     70-74     0.04511  0.20323  2.57   63424   12890  285758   734157  11.58
2000-2009     75-79     0.06962  0.29726  2.54   50534   15022  215766   448399   8.87
2000-2009     80-84     0.11220  0.43724  2.48   35513   15527  138390   232632   6.55
2000-2009     85-89     0.18101  0.60759  2.30   19985   12143   67084    94242   4.72
2000-2009     90-94     0.26501  0.75058  2.11    7842    5886   22211    27158   3.46
2000-2009     95-99     0.38192  0.86936  1.87    1956    1700    4452     4947   2.53
2000-2009    100-104    0.51022  0.93604  1.62     256     239     469      494   1.93
2000-2009    105-109    0.63811  0.96867  1.41      16      16      25       26   1.56
2000-2009    110+       0.73558  1.00000  1.36       1       1       1        1   1.36
2010-2013        0      0.01259  0.01245  0.08  100000    1245   98853  7241511  72.42
2010-2013      1-4      0.00052  0.00206  1.60   98755     204  394532  7142658  72.33
2010-2013      5-9      0.00023  0.00117  2.40   98552     115  492460  6748126  68.47
2010-2013     10-14     0.00033  0.00163  2.87   98437     160  491841  6255666  63.55
2010-2013     15-19     0.00117  0.00585  2.89   98276     575  490166  5763825  58.65
2010-2013     20-24     0.00159  0.00790  2.45   97701     771  486538  5273659  53.98
2010-2013     25-29     0.00149  0.00743  2.48   96930     720  482835  4787121  49.39
2010-2013     30-34     0.00155  0.00773  2.49   96210     744  479184  4304286  44.74
2010-2013     35-39     0.00191  0.00950  2.59   95466     907  475146  3825103  40.07
2010-2013     40-44     0.00274  0.01361  2.62   94559    1287  469731  3349957  35.43
2010-2013     45-49     0.00426  0.02111  2.68   93271    1969  461789  2880226  30.88
2010-2013     50-54     0.00710  0.03491  2.68   91303    3188  449111  2418437  26.49
2010-2013     55-59     0.01163  0.05660  2.65   88115    4987  428879  1969326  22.35
2010-2013     60-64     0.01840  0.08813  2.62   83128    7326  398238  1540447  18.53
2010-2013     65-69     0.02808  0.13153  2.60   75802    9970  355041  1142210  15.07
2010-2013     70-74     0.04133  0.18776  2.57   65831   12360  299070   787169  11.96
2010-2013     75-79     0.06195  0.26916  2.56   53471   14392  232307   488099   9.13
2010-2013     80-84     0.10195  0.40507  2.47   39079   15829  155268   255792   6.55
2010-2013     85-89     0.18646  0.63803  2.53   23249   14834   79554   100524   4.32
2010-2013     90-94     0.38735  0.86997  1.83    8415    7321   18901    20970   2.49
2010-2013     95-99     0.52114  0.94385  1.62    1094    1033    1982     2069   1.89
2010-2013    100-104    0.70029  0.97935  1.32      61      60      86       87   1.42
2010-2013    105-109    0.83630  0.99014  1.15       1       1       2        2   1.19
2010-2013    110+       0.91254  1.00000  1.10       0       0       0        0   1.10
